Country,Density_P_Km2,Agricultural_Land_percent,Land_AreaKm2,Armed_Forces_size,Birth_Rate,Co2_Emissions,CPI,CPI_Change_percent,Fertility_Rate,Forested_Area_percent,Gasoline_Price,GDP,Gross_primary_education_enrollment_percent,Gross_tertiary_education_enrollment_percent,Infant_mortality,Life_expectancy,Maternal_mortality_ratio,Minimum_wage,Out_of_pocket_health_expenditure,Physicians_per_thousand,Population,Population:_Labor_force_participation_percent,Tax_revenue_percent,Total_tax_rate,Unemployment_rate,Urban_population,Latitude,Longitude,Continent
93,-0.17836203925794825,-1.4265053353961394,0.5609120590967942,-0.39636553799964286,-0.13926373039443166,-0.14836644998207976,-0.1558311551933894,-0.16012860045442043,-0.35717039502578457,-1.3585596221175387,-2.542817104140586,-0.19552845914990447,0.5073479516292573,0.7816206458063463,-0.5630066953228979,0.04098668243883328,-0.355795718556289,-0.04744827594668498,0.2216113322396941,0.14976960794167182,-0.225064943258725,-1.3038537036832045,-0.5925289062744162,-0.39928288171531534,2.442672759512722,-0.22071228217946276,0.3073989012118449,-0.04420383987295918,0
94,-0.06004864828933149,-0.3265624278657995,-0.3592325863291327,-0.31964201218077215,-1.0435665865019124,-0.20982752426950227,-0.1834795148770842,-0.198598921302813,-0.98569359439434,0.476503675312357,2.038231564175944,-0.21664602262173363,0.1735873542331076,-0.07835511855718803,-0.9190703891217035,1.424545534176556,-0.6463656086393805,0.39251879108221627,-0.5143777825501009,0.9447501200102895,-0.27175139911406676,-0.37808369973950307,0.6190913503622191,-0.9513758239439953,-0.3067228789966429,-0.29395649066319146,1.1787861513217976,-0.16031366372889583,2
95,-0.15864314076317879,0.3755287897067578,-0.3251647770991512,-0.3015073606235845,-1.0334400147649865,-0.1941170063592772,-0.1751415388505102,-0.17295204073721795,-0.8364193345443082,0.12229378301774903,0.4081651668608594,-0.19453432620820563,0.11149235936870783,1.1926130793776741,-0.9190703891217035,0.44396498877020896,-0.6375604604550444,0.15100495428762797,-0.021953410784266887,2.696098165394537,-0.2527093080336213,-0.11286310401509139,0.05871698166777497,0.10261979303803011,-0.07666087997691005,-0.26858405459332396,1.515028811932766,0.056020951478544016,2
96,-0.05802619716166283,0.6797683173215326,-0.3579638036273836,-0.3907856452128159,-1.0030602995542088,-0.19895353894084045,-0.1838088188275808,-0.198598921302813,-1.0406893743390884,0.16070208459186336,0.49247894603232933,-0.18670136854540134,-0.012697630360092802,-0.6447648589412027,-0.9913151965591424,1.3036520422771427,-0.6507681827315486,4.135047161255721,-1.1603538401353886,0.6996809395981591,-0.26754387510062144,-0.3430545644551473,1.5126612896317373,-1.0116041449143969,-0.28093117507066384,-0.2864206625634754,1.2907874993375164,-0.21140345895331125,2
97,-0.15611507685359297,1.4988747378228495,-0.05229752417529815,-0.33498671734454627,1.2612411408224171,-0.20513821695645956,-0.0014007745685021822,-0.03189419762644514,1.0884329635218923,-0.4495631515301719,0.2676422015750768,-0.2131524917496858,3.1075758615760067,-1.121377933166776,0.8818894534258784,-0.7649699302239181,0.8020812676839092,-0.6727631712132934,-0.5726215254471351,-0.9918941349538617,-0.08518876271134644,2.339176365889847,-0.9560149832654068,-0.11319835710590864,-1.0237322481388602,-0.15663018491304392,-1.5815496500585464,0.40232638645942004,0
98,-0.0777450956564323,1.0401751423421117,-0.29734988047515154,-0.35451634209844063,1.409089088181535,-0.20831025228731123,0.6150825650771791,0.13053604595565693,1.1905679834192824,0.05401235799710199,0.3800605738037028,-0.21612932766837484,3.1075758615760067,-1.2802489579086338,0.732239495162612,-1.1545156263442486,0.863717304974262,-0.7064627763474219,-1.1391742972637398,-1.0755762941189793,-0.14296679630094203,1.398393875395708,0.11929799449960704,-0.3039213735121798,-0.22109442196239248,-0.2509793921629258,-1.3506711834397993,0.21299918278193414,0
99,-0.13032882497581752,-0.6027183067776721,-0.18680836432107442,-0.016932828495409537,-0.34989642252248976,0.09221302289580546,-0.1670274895102739,-0.24134372224547143,-0.5457273548363513,1.5220629959410181,-1.5872609401972608,-0.050506667164771375,0.22015860038140714,0.24974808471403995,-0.743618713916495,0.48426281940334615,-0.5451064045195153,-0.40316633014026454,0.2216113322396941,-0.19691362288524406,-0.047240162774360835,0.15736165389279944,-0.6834004255221638,-0.09312225011577455,-0.7018517831426418,0.03532223564164143,-0.6192167209264079,1.2324932119059346,1
100,0.7307297426291156,-0.6027183067776721,-0.3591604131993547,-0.3824158060325754,-0.6081240018140998,-0.20813139183712512,-0.2243527212127226,-0.26271612271680067,-0.6478623747337414,-1.2219967720762441,1.7290810405472208,-0.21702808206953514,-0.41631509697869296,-0.23031870744070423,-0.7074963101977755,0.8335106848905377,-0.43944462630748204,-0.47805434154943927,-0.8532504684964815,1.6261619874976756,-0.2683366695024515,0.7078194940755409,0.4524935650746816,-0.5197395236561183,-0.11999094257255483,-0.2911551531676074,-0.6614211199597041,0.7993056644615956,1
101,-0.1717890730930251,-0.25167269799139363,0.2892963300827869,-0.3461465029182002,2.1604807110614352,-0.20602156856758283,-0.20056380382884798,-0.3439312445078517,2.502610162101141,-1.200658826757292,0.2957467946322334,-0.21156311697678098,-2.0851180839594425,-1.1524613945293134,2.1100511798623383,-1.8127135266854955,1.8014655866060576,-0.6652743700723759,0.7299203611592644,-1.021780620369975,-0.13583657896239004,0.8079027377451302,-0.7439814383539956,0.6998839759945111,0.10284937934790406,-0.17992513603823235,-0.05966904571177536,-0.363945112814022,0
102,0.5173611486600717,-0.3172012116314989,-0.35915099931286193,-0.3907856452128159,-1.1144525886603935,-0.20825671582603103,-0.18812928665809622,-0.20287340139707882,-1.1506809342285858,-1.3158837314796341,0.9702570280039924,-0.21282672926629648,0.19687297730725736,0.5674901341977553,-0.7745807742468259,1.3305172626992348,-0.6463656086393805,1.147015506029651,0.24279087511134279,0.6100214833498189,-0.268532713694998,-0.6232876467299973,1.4672255300078634,0.1728861675034984,-0.6709017384314669,-0.28762615499976596,0.7095631757718134,-0.08718222818023698,2
